symbol,isin,year,month,month_val,volume_ratio
NBIFIN,INE365I01020,2017,12,54428360.1,18.499535755746564
AARTIDRUGS,INE767A01016,2018,1,404205326.3,2.5383394722011237
ADORWELD,INE045A01017,2018,1,940757323.8,3.5236262978456345
AFL,INE020G01017,2018,1,14374794.7,182.42866080856075
ALBERTDAVD,INE155C01010,2018,1,146956411.05,2.345495815920955
AMBIKCO,INE540G01014,2018,1,253478369.14999998,3.8220154416840635
AROGRANITE,INE210C01013,2018,1,501941349.6,4.031745768694434
CENTUM,INE320B01020,2018,1,281832202.8,2.6716093502195193
CGCL,INE180C01026,2018,1,408910283.45,3.051810848526039
CONSOFINVT,INE025A01027,2018,1,44938943.85,2.2967750379150558
DIAPOWER,INE989C01012,2018,1,258355452.05,3.7261198041106725
ESABINDIA,INE284A01012,2018,1,441479290.15000004,4.8348363153502065
GREENPOWER,INE999K01014,2018,1,423875827.65,2.9095480816716837
GRPLTD,INE137I01015,2018,1,123996209.94999999,10.866078988661013
GSS,INE871H01011,2018,1,232996443.3,2.962677649170951
GUJNRECOKE,INE110D01013,2018,1,127024050.2,2.310193987562114
HNGSNGBEES,INF732E01227,2018,1,2917875.2,2.528746438284231
LICNETFGSC,INF767K01MV5,2018,1,216004.75,3.1426163597227283
MADHAV,INE925C01016,2018,1,149349322.75,3.6183865844628498
MUKANDENGG,INE022B01014,2018,1,85301702.35,2.1670593885914604
NAGAFERT,INE454M01024,2018,1,769442328.85,2.2433612137873435
NAVKARCORP,INE278M01019,2018,1,2895939304.1,9.592196070152436
NIPPOBATRY,INE567A01010,2018,1,79164765.05,2.7573066898012457
NITESHEST,INE639K01016,2018,1,287816877.05,2.000909784591824
NOCIL,INE163A01018,2018,1,5683484628.849999,2.912996483759306
OCCL,INE321D01016,2018,1,342706443.15,2.0658002376104223
ORBTEXP,INE231G01010,2018,1,189682014.75,3.372457623692317
PEARLPOLY,INE844A01013,2018,1,25738688.8,2.5531921976681313
PENPEBS,INE455O01019,2018,1,190638541.35,3.2881507143138644
PHILIPCARB,INE602A01015,2018,1,12925262253.85,4.21888778734116
POWERMECH,INE211R01019,2018,1,649417062.6999999,3.317282216326657
QNIFTY,INF082J01028,2018,1,1850595.46,5.354078466113223
RIIL,INE046A01015,2018,1,13695000634.8,2.6933830717368177
RNAVAL,INE542F01012,2018,1,19685311961.1,4.335343033488488
ROLTA,INE293A01013,2018,1,4672380619.2,3.745596097622158
RPOWER,INE614G01033,2018,1,26753972738.850002,3.7123671042458106
SETF10GILT,INF200KA1JT1,2018,1,104474.66,14.466888407619322
SHARIABEES,INF732E01128,2018,1,1255265,2.1509125251935632
SJVN,INE002L01015,2018,1,1264267959.9,2.252998355209821
STERLINBIO,INE324C01038,2018,1,79797223,2.5920962934266765
SUDARSCHEM,INE659A01023,2018,1,1030261734.5,2.499306862647277
TASTYBITE,INE488B01017,2018,1,542651610,2.0249916325907282
THEMISMED,INE083B01016,2018,1,154756869.3,4.175701784038842
UVSL,INE292A01023,2018,1,53598284.45,2.5087722286089265
WENDT,INE274C01019,2018,1,290055979.15,2.228210839607755
XCHANGING,INE692G01013,2018,1,88750561.75,2.011160427360796
